667;20.0
9017;49.0
5719;24.0
2547;32.0
277;10.0
3060;75.0
7077;20.0
8780;79.0
6312;40.0
6547;21.0
7288;99.0
2672;49.0
3269;65.0
2265;65.0
6608;24.0
8776;150.0
4396;39.0
960;42.0
324;40.0
3025;35.0
3471;62.0
2960;55.0
5858;36.0
968;40.0
2566;147.0
3400;120.0
3531;20.0
7205;51.0
2619;115.0
7375;24.0
2226;45.0
8883;44.0
5531;34.0
2224;35.0
2598;20.0
7471;30.0
3843;17.0
4713;20.0
5910;14.0
8746;30.0
142;100.0
2306;40.0
8950;130.0
6323;75.0
3554;16.0
2526;85.0
5825;35.0
8174;27.0
360;18.0
2156;99.0
578;45.0
1973;52.0
9683;60.0
9444;35.0
9550;16.0
8514;70.0
4241;25.0
7090;38.0
7134;21.0
565;26.0
9577;50.0
3091;55.0
8546;32.0
5542;50.0
1483;18.0
2682;40.0
3986;49.0
9537;65.0
3699;60.0
9338;60.0
189;90.0
4378;35.0
4763;16.0
6020;38.0
6448;150.0
2596;40.0
2406;28.0
1909;45.0
3294;105.0
5997;160.0
5415;51.0
1544;40.0
3730;32.0
7803;79.0
1387;24.0
5864;148.0
402;75.0
1155;70.0
3080;25.0
6410;120.0
3766;100.0
9459;44.0
4448;70.0
6736;60.0
1730;49.0
8995;40.0
6824;145.0
6204;25.0
174;43.0
4313;89.0
8492;68.0
2050;30.0
446;139.0
4873;74.0
4019;32.0
7041;26.0
1697;125.0
4126;25.0
8158;30.0
850;30.0
7038;12.0
178;20.0
6378;50.0
1677;45.0
8368;20.0
1519;50.0
4875;23.0
5692;36.0
770;72.0
599;52.0
7040;68.0
6427;33.0
6577;29.0
9257;16.0
4440;92.0
8180;118.0
5846;135.0
3908;19.0
3171;90.0
3430;20.0
364;79.0
990;140.0
1529;120.0
6517;80.0
9236;20.0
9300;45.0
234;41.0
7646;20.0
4426;53.0
6915;42.0
2618;100.0
2181;21.0
1614;19.0
5771;28.0
8455;58.0
8337;12.0
5884;32.0
1522;39.0
4846;32.0
3020;59.0
1092;67.0
4966;70.0
884;68.0
9686;21.0
1447;17.0
1914;41.0
4874;21.0
5905;35.0
4423;35.0
23;25.0
5104;99.0
1698;95.0
250;35.0
2190;45.0
9108;30.0
3758;195.0
3397;75.0
3891;35.0
2560;20.0
9504;40.0
7624;50.0
6613;45.0
1079;22.0
724;20.0
7164;28.0
711;16.0
8856;12.0
415;125.0
1584;75.0
611;30.0
4979;56.0
2804;68.0
6375;55.0
3705;59.0
6762;70.0
3122;37.0
1668;26.0
3538;25.0
3333;100.0
5112;50.0
544;31.0
1947;32.0
4414;18.0
1060;35.0
2949;68.0
2246;99.0
6586;20.0
8402;65.0
6895;99.0
2840;95.0
9521;60.0
9598;110.0
7579;55.0
7938;21.0
9092;110.0
6779;30.0
2932;25.0
2673;79.0
91;69.0
7598;120.0
5405;55.0
8844;50.0
2630;70.0
497;65.0
1911;40.0
5411;84.0
4167;55.0
7543;65.0
3762;105.0
4403;37.0
6959;50.0
2931;120.0
7262;26.0
6112;20.0
8041;34.0
9124;50.0
862;40.0
2729;23.0
8594;80.0
2874;56.0
7612;29.0
4074;90.0
134;35.0
5791;50.0
561;29.0
6118;70.0
2023;37.0
3927;74.0
3232;30.0
2713;75.0
6910;70.0
2381;80.0
9015;65.0
7611;60.0
1062;65.0
8855;80.0
2519;45.0
6722;100.0
13;80.0
2484;29.0
6913;79.0
5053;85.0
4861;110.0
3012;18.0
6792;191.0
6893;45.0
51;45.0
4570;11.0
